мЮХЛЕМНБЮМХЕ;йНК-БН;жЕМЮ ОНЯР;жЕМЮ ПНГМ;дЮРЮ;оНЯРЮБЫХЙ;оПНХГБНДХРЕКЭ;яРПЮМЮ
лернйкнопюлхд 10лц ра ╧50 онкэью;2.0;24.08;29.8;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
мюгхй яопеи мюгюк 0,1лц+5лц/днг 10лк;1.0;94.05;126.96;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
мспнтем ясяо д/д 150лк йкса;2.0;162.47;195.88;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
опюдюйяю 150лц йюоя ╧60;1.0;2551.01;3041.03;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
юмрхярем лб 35лц ра N60;1.0;380.82;502.09;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
оюпмюбек 4лц ра N30;1.0;238.81;284.54;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
юлкндхохм 5лц ра ╧20 нгнм;1.0;29.81;37.07;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
хпхтпхм ай цк йюо 2,5% 0,4лк ╧15 рча-йюо;1.0;397.84;530.26;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
мспнтем ясяо д/д 150лк юоек;2.0;162.47;195.88;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
мспнтем 200лц ра ╧20;2.0;126.39;155.18;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
яюмнпхм йяхкн йюокх 0,1% 10лк;1.0;72.82;87.26;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
лнрхкюй 10лц ра ╧30 д/пюяяюяшб;1.0;234.19;316.15;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
кхднйюхм 2% цк йюокх 5лк;10.0;12.27;15.18;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
аерюцхярхм 24лц ра ╧60;1.0;112.05;139.5;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
дхмюлхйн 50лц ра ╧1;1.0;297.32;403.79;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
ухлюкюъ уепа йпел д/кхжю охрюр 50лк;1.0;59.06;85.63;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
аюгхпнм юя 2,5% цекэ 40ц рсаю;1.0;598.95;777.15;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
хмдюоюлхд перюпд 1,5лц ра ╧30 юкях;1.0;32.12;32.12;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
опегепбюрхбш CONTEX EXTRA SENSATION ╧3;1.0;88.07;120.67;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
опег-бш DUREX DUAL EXTASE ╧3;1.0;138.12;185.24;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
цхмйнсл йюоя ╧60;1.0;309.54;419.86;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
сйпномюъ бндю 15лк;1.0;102.08;133.22;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йнкле юло ╧4;1.0;1337.71;1687.21;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йнлокхбхр ра ╧60;1.0;105.71;138.24;2015-02-24 00:00:00.00; ннн "тХПЛЮ цхяя";;
цкхмю цнксаюъ 100ц йелап;1.0;19.13;27.73;2015-02-24 00:00:00.00; ннн "тХПЛЮ цхяя";;
гбегднвйю ра N20 юоекэяхм;1.0;83.61;121.23;2015-02-24 00:00:00.00; ннн "тХПЛЮ цхяя";;
юкнщ щй-р юло ╧10;2.0;118.57;160.49;2015-02-24 00:00:00.00; ннн "тХПЛЮ цхяя";;
укнпнтхккхор яохпр п-п 100лк;1.0;205.59;275.59;2015-02-24 00:00:00.00; ннн "тХПЛЮ цхяя";;
йкнрпхлюгнк йпел 1% 20ц цкюйян;1.0;71.3;95.02;2015-02-24 00:00:00.00; ннн "тХПЛЮ цхяя";;
тхрнвюи AG COMPANI ╧20 юмрхункеярепхм т/о ╧20;1.0;37.57;50.71;2015-02-24 00:00:00.00; ннн "тХПЛЮ цхяя";;
бхрюлхм D3 бнд п-п 10лк /юйбюдерпхл;1.0;170.71;205.81;2015-02-24 00:00:00.00; ннн "тХПЛЮ цхяя";;
мюгнк юдбюмя яопеи 0,05% 15лк;1.0;111.76;150.87;2015-02-24 00:00:00.00; ннн "тХПЛЮ цхяя";;
цпюллхдхм дер 1,5лц+1лц ра ╧18;1.0;148.07;197.35;2015-02-24 00:00:00.00; ннн "тХПЛЮ цхяя";;
яхнтнп 500лц ра ╧60;1.0;236.5;283.65;2015-02-24 00:00:00.00; ннн "тХПЛЮ цхяя";;
онлюдю юб накеохую 2,8ц;2.0;18.62;26.99;2015-02-24 00:00:00.00; ннн "тХПЛЮ цхяя";;
юйбюкнп SOFT яопеи (яп-бн) 125лк;1.0;275.69;367.63;2015-02-24 00:00:00.00; ннн "тХПЛЮ цхяя";;
мн-ьою 40лц ра ╧100;1.0;203.3;244.81;2015-02-24 00:00:00.00; ннн "тХПЛЮ цхяя";;
юмрх-юмцхм оюяр ╧12;1.0;80.19;108.25;2015-02-24 00:00:00.00; ннн "тХПЛЮ цхяя";;
йндекюй апнмун ра ╧10;1.0;96.53;128.65;2015-02-24 00:00:00.00; ннн "тХПЛЮ цхяя";;
