мЮХЛЕМНБЮМХЕ;йНК-БН;жЕМЮ ОНЯР;жЕМЮ ПНГМ;дЮРЮ;оНЯРЮБЫХЙ;оПНХГБНДХРЕКЭ;яРПЮМЮ
кюгнкбюм яхпно 30лц/5лк 100лк;1.0;226.82;276.08;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
хмрептепнм 1000ле п-п 2лк юло ╧10;2.0;63.36;77.25;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
кхмейя йюоя ╧16;2.0;268.25;373.02;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
пхцебхднм ра ╧21у3;1.0;507.21;690.99;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йнлокхбхр юйрхб ра ╧30;1.0;135.1;182.38;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йнлокхбхр Caд3 ра ╧30;1.0;95.65;130.37;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
бемюпся 500лц ра ╧30;2.0;455.42;607.0;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
бхрюлхьйх лскэрх+ феб оюяр 2,4ц ╧30;1.0;333.93;482.26;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
аюпюкцхм ра ╧10;10.0;55.792;75.14;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
дснбхр дп ╧40;1.0;81.95;109.58;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
мнбн-оюяяхр тк 100лк;1.0;155.16;209.46;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
пхн гюлемхрекэ яюуюпю ╧450;1.0;73.04;101.22;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
аеиах йюкл д/лкюд тк 15лк;2.0;251.73;350.23;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
югнор 1% цк йюокх 5лк тк-йюо;1.0;525.14;700.7;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
аепндсюк ющп;1.0;441.21;535.06;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
юяеорю нонкюяй 250лк тк;1.0;129.14;184.4;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
юйрнбецхм юло 2лк ╧5 мхйнлед;3.0;257.246;332.08;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
юлапнаеме 30лц ра ╧20;1.0;133.82;178.36;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
юлнйяхйкюб 375лц ра ╧15;2.0;199.76;240.46;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
юлнйяхжхккхм 250лц ра ╧20;2.0;20.9;26.14;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
юпсрхлнк 0,5% 5лк;1.0;72.71;87.27;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
юяйнпсрхм ра ╧50;5.0;24.97;31.51;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
южж 200 цпюм ╧20 юоекэяхм;2.0;106.6;128.47;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
аеккюрюлхмюк ра ╧30 пежеор!!!;1.0;101.53;137.06;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
аепкхрхнм 300лц ра ╧30;1.0;667.81;768.61;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
аепндсюк п-п 20лк;1.0;238.7;289.31;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
ахтхдслаюйрепхм тнпре 5днг оюй ╧30;1.0;317.79;384.24;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
апюк ра ╧10;7.0;21.461;28.39;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
апнлцейяхм 4лц/5лк яхпно 100лк тюпляр-р;2.0;57.2;75.29;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
апнлцейяхм 8лц дп ╧25;1.0;82.94;110.54;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
бнкэрюпем щлскэцекэ 1% 20ц;1.0;143.59;193.84;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
цюкюгнкхм 0,1% 10лк;1.0;31.02;38.77;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
цеоюпхм люгэ 25ц;11.0;39.48;53.29;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
цкхжхм 100лц ра ╧50 ахнрхйх;40.0;25.03;31.52;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
цпюмдюйяхм 50лц ра ╧20;2.0;266.26;359.45;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
дхлейяхд тк 100лк;3.0;31.46;41.26;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
индю п-п 5% 10лк;10.0;6.93;9.02;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йюбхмрнм тнпре 10лц ра ╧30;2.0;214.28;257.29;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йюкэжхд ра ╧100;1.0;81.99;116.47;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йюпдхйер перюпд 20лц ра ╧50;1.0;111.64;134.44;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йерюмнб 10лц ра ╧100;1.0;206.51;249.4;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йернмюк 50лц йюоя ╧25;1.0;89.1;107.26;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йкюпнрюдхм 10лц ра ╧7;1.0;90.52;110.15;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йкхлюдхмнм ра ╧60;1.0;302.06;401.59;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йкхлюйяюм цпюм 10ц;1.0;66.33;88.19;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йнкдпейя люйяцпхоо кхлнм ╧10;1.0;279.95;376.58;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йнкдпейя лед+кхлнм онп ╧10;1.0;225.01;303.76;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йнлокхбхр ра ╧60;3.0;103.18;135.71;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йнмйнп 10лц ра ╧30;1.0;295.35;353.11;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йнмйнп 5лц ра ╧30;3.0;197.34;235.93;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йнмйнп 5лц ра ╧50;4.0;291.94;349.13;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йнпхмтюп перюпд 10лц ра ╧50;1.0;59.84;74.87;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йспюмрхк 25лц ра ╧100;1.0;447.7;597.24;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
кюгнкбюм п-п д/хмц-и 7,5лц/лк 100лк;2.0;330.06;401.48;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
кебнлейнкэ люгэ 40ц;7.0;75.46;99.28;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
кхнрнм 1000 цекэ 50ц;1.0;372.41;502.75;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
люцмхъ яскэтюр онп 25ц;3.0;30.77;41.01;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
люцмхъ яскэтюр юло 10,0 ╧10;1.0;23.15;28.64;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
люйяхрпнк цк йюо 5лк;1.0;271.35;366.32;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
лнбюкхя 15лц юло ╧3;1.0;486.2;659.5;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
лнмнопхк 20лц ра ╧28;1.0;317.68;423.73;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
мюгхбхм 0,01% тк 5лк;1.0;122.1;162.9;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
мюгхбхм яопеи 0,05% тк 10лк;1.0;128.15;167.75;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
мнплндхохм 5лц ра ╧30;1.0;324.83;392.25;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
накеохунбне люякн 100лк ъмрюпмне;1.0;303.49;397.99;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
накеохунбне люякн 50лк ъмрюпмне;2.0;163.02;213.77;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
нйянкхмнбюъ люгэ 0,25% 10ц;6.0;13.53;16.85;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
нтрюм-йюрюупнл йюокх 10лк;2.0;180.18;237.58;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
оюмрнцюл 250лц ра ╧50;1.0;312.04;421.25;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
оюремрейя нбюк 75лц бюц яб ╧12;1.0;269.39;363.67;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
охйюлхкнм 50лц ра ╧30;2.0;66.0;87.17;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
охйнбхр ра ╧30;1.0;114.97;155.2;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
охкнйюпохм 1% 5лк тк-йюо яхмрег;2.0;23.87;29.54;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
онкхдейяю я темхкетпхмнл яопеи 15лк тк;1.0;235.62;318.39;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
опегепбюрхбш CONTEX LIGHTS ╧3;1.0;84.43;114.24;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
опегепбюрхбш CONTEX ROMANTIC/юпнлю L ╧3;1.0;80.48;106.85;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
опегепбюрхбш CONTEX IMPERIAL ╧3;1.0;80.48;106.85;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
опхлюднтхкся деряйхи онп 141,75ц;1.0;1056.84;1363.09;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
опнярюлнк смн йюоя ╧30;1.0;569.03;759.7;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
пебюкцхм ра ╧20;2.0;63.25;84.23;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
яюкэасрюлнк ющп 12лк лут;2.0;118.69;141.41;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
яюмнпхм йюокх 0,1% 10лк;1.0;83.16;97.63;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
яеахдхм ра ╧20;1.0;93.56;126.3;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
яхдмнтюпл 2лц ра ╧30;1.0;141.35;185.65;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
янкйняепхк цекэ 10% 20ц;1.0;157.87;213.12;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
яоюгцюм ра ╧10;10.0;21.439;28.42;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
яопхмжнбйю ╧3а;1.0;16.72;20.64;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
ярнорсяяхм тхрн я леднл 100лк;1.0;153.19;204.17;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
рюаейя ра ╧100;1.0;634.55;824.91;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
рюакерйх нр йюькъ дюкэухл/рюрухл ра ╧10;40.0;25.85;33.89;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
ремнпхй 100/25лц ра ╧28;1.0;207.02;243.8;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
ренрюпд 200лц йюоя ╧40;1.0;97.58;130.05;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
темйюпнк 25лц ра ╧20;1.0;290.21;394.62;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
тхмкеояхм 200лц ра ╧50;2.0;217.8;259.51;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
яерецхя 2лц ра ╧30;1.0;509.89;691.69;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
кнпюцейяюк 10лц ра ╧10;2.0;40.37;50.55;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
юрепнйкетхр йюоя ╧30;1.0;148.88;216.06;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йюорнопхк 25лц ра ╧40 опюмю;3.0;8.92;11.05;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
ахяюйндхк ра ╧30 ут;1.0;24.98;30.92;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
яхмсопер йюокх 100лк;1.0;244.86;340.03;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
бхрюлхм е 10% 20лк;1.0;16.72;20.59;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
дхмюлхгюм ра ╧30;1.0;326.97;474.1;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йяхлекхм яопеи 0,1% 10лк;1.0;149.93;179.78;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
юпахднк 50лц ра ╧10;2.0;120.73;146.88;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
южж кнмц 600лц ьхо ра ╧10;1.0;268.62;362.83;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
пхцебхднм ра ╧21;2.0;186.56;235.47;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йнпбюкнк 25лк тюпляр-р;9.0;9.63;13.0;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
лхднйюкл 10% 1лк юло ╧5;1.0;448.25;605.13;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йнмйнп 2,5лц ра ╧30;4.0;152.24;181.82;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
яскэтюдхлегхм 500лц ра ╧10;1.0;36.92;49.84;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
юлхрпхорхкхм 25лц ра ╧50 пняяхъ;1.0;14.98;19.3;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
южж 100 ьхо ра ╧20;2.0;190.33;253.68;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
южж 600 цпюм оюй ╧6;2.0;111.21;133.66;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
ахмр кхойхи ахмркх-р 10у2;1.0;46.2;62.37;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
бхдхяхй цк цекэ 10ц;1.0;166.65;222.55;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
дхо пхкхт цекэ 50ц;1.0;334.4;451.43;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йнкдпейя лед+кхлнм онп ╧5;2.0;124.41;165.99;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
кнжепхк п-п д/мюп оп 5% 2,5лк;1.0;1187.01;1553.3;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
лернопнкнк 50лц ра ╧30 пюрхн;2.0;23.76;29.54;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
нйяхйнпр ющп тк 55лк;1.0;305.14;409.03;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
оепвюрйх ялнрпнбше кюрейя пюглеп L оюпю;25.0;7.2622;9.8;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
опегепбюрхбш CONTEX LONG LOVE ╧3;1.0;84.43;114.24;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
пхмгюяхо онп 5ц ╧10 ялнпндхмю;1.0;149.03;207.89;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
пхмгюяхо онп 5ц ╧5 юоекэяхм;1.0;95.81;129.68;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
пхмгюяхо онп 5ц ╧5 кхлнм;1.0;96.14;130.02;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
ясопхлю-кнп юоекэяхм ра ╧16;1.0;85.69;113.91;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
тхмюяр 5лц ра ╧30;1.0;301.18;363.59;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
оскэлхйнпр 0,25лц/лк ясяо 2лк ╧20;1.0;894.19;1016.23;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
мспнтем тнпре 400лц ра ╧12;1.0;84.69;101.73;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
бхрюлхм F йпел кхапхдепл фхпмши 50лк;1.0;86.0;129.54;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
бюгнапюк ра ╧30;1.0;965.36;1254.96;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
кнпюрюдхм 10лц ра ╧10;1.0;6.57;8.12;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
юмрхцпхоохм мюр оп-р д/дер ьхо ра ╧10;1.0;185.9;247.35;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
пхмнмнпл мюг яоп д/д 0,05% 15лк;1.0;53.9;67.77;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
уюпрхк 5лц ра ╧28;1.0;264.0;356.39;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йюцнжек 12лц ра ╧10;5.0;193.05;237.03;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
кюйрюжхд телхмю яп-бн хмр цхц 200лк;1.0;151.47;216.25;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
цнпохкя люкхмю ╧24;1.0;72.87;105.66;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
хмцюкърнп OMRON NE-C28-E;1.0;4150.0;5394.99;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
цкчйнлерп ONE TOUCH ULTRA EASY;1.0;1763.76;2292.88;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
аюухкш б хмд союйнбйе VIP оюпю;100.0;2.51;3.38;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
онкхтеоюм 10ц оюй ╧10;1.0;79.42;102.71;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
цкчйнтюф 0,85 ра ╧30;1.0;102.19;122.63;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
яхпно опх йюьке 100лк;1.0;50.61;73.38;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
юкэйю-опхл ьхо ра ╧10;1.0;144.74;197.86;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
аюкэгюл "гнкнрюъ гбегдю" 4ц;3.0;60.83;81.83;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
оептейрхк йюоя ╧30;1.0;385.66;517.27;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
мспнтем ясяо д/д 100лк йкса;3.0;110.68;132.95;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
хмднлерюжхм 100лц яб ╧10 юк;2.0;60.83;82.0;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
нлюпнм ра ╧90;1.0;182.11;248.58;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
днктхм яп-бн д/оп мня 2ц ╧30;1.0;247.01;329.22;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
окюмрейя вюи 5ц оюй ╧10;1.0;251.92;339.04;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
днктхм сярп-бн д/оп-ъ мняю бгп;1.0;182.1;266.35;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
лхц 400лц ра ╧10;3.0;64.77;77.87;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
лхпюлхярхм 0,01% 150лк пюяо;1.0;296.12;381.01;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йпел мецю люяяюф 75лк;1.0;30.37;42.4;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
лхпюоейя 0,25лц ра ╧30;1.0;230.56;277.5;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
тюлнрхдхм 40лц ра ╧20 пняяхъ;1.0;18.26;22.68;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
цепахнм щяйскчя цекэ 40ц;1.0;65.79;88.81;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
днйрнп лнл оюяр тпсйрш ╧20;1.0;70.62;95.26;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
гь люяйю-яшбнп юйр сйп нр бшоюдемхъ 500лк;1.0;98.27;134.89;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
люкэрнтеп 100лц ра ╧30;1.0;283.58;339.3;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
лхйнгнпюк ьюлосмэ 2% тк 60ц;1.0;195.25;262.53;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
юлкндхохм 5лц ра ╧30 бепн;1.0;29.7;36.91;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
цюмюрнм 50лц ра ╧40;1.0;401.39;535.36;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
янмхгхм 0,0004 йюоя ╧30;1.0;425.01;506.42;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
яхлбюярюрхм 10лц ра ╧30;1.0;44.99;59.92;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
реяр мю аепел EVITEST ╧1;3.0;51.15;69.05;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
лейяхднк 5% 5лк юло ╧5;2.0;341.66;413.29;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йнпецю тхйя г/опнрег йпел 40лк меирп бйся;3.0;172.73;262.64;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
цхдпнйнпрхгнм 0,5% цк люгэ 3ц пняяхъ;1.0;29.59;37.07;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
ярпеояхкя лед+кхлнм ра ╧36;1.0;208.89;282.0;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
хмцюбхпхм 90лц йюоя ╧7;3.0;400.73;483.85;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
юмрхцпхоохм люйя люкхмю онп ╧12;1.0;208.67;281.7;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
юмрхцпхоохм люйя кхлнм-лед онп ╧12;1.0;208.67;281.7;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
мюмнокюяр тнпре 7У9ял ╧3;1.0;90.09;119.28;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
рюцхярю 24лц ра ╧30;4.0;118.58;142.83;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
цпюллхдхм мен я юмеяр ра ╧18;2.0;156.64;209.76;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
южхйкнбхп йпел 5% 2ц BELUPO;1.0;41.14;51.64;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
хмдюоюлхд перюпд 1,5лц ра ╧30 нгнм;3.0;20.41;25.34;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йнпдхмнпл 10лц ра ╧30;1.0;156.09;189.18;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
цеоюпхм юйпх цекэ 1000ле/ц 30ц;8.0;128.13;181.92;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
нжхккнйнйжхмсл 12днг цпюм;1.0;533.27;703.34;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
цкхтнплхм 1000лц ра ╧60;2.0;266.86;318.56;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
йнмреимеп я йпшь 100лк;30.0;9.02;10.86;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
мнкэоюгю 20лц ра ╧28;1.0;195.25;263.45;2015-02-25 00:00:00.00; ннн "тХПЛЮ цхяя";;
