Наименование;Кол-во;Цена пост;Цена розн;Дата;Поставщик;Производитель;Страна
РЫБИЙ ЖИР БИАФИШЕНОЛ ПИЩЕВОЙ N50 КАПС ;3.0;22.29;30.17;2015-02-03 00:00:00.00;ЗАО НПК "Катрен"; БиоФарм;Россия
САЛФЕТКИ ВЛАЖНЫЕ АНТИБАКТЕР ВЕРОФАРМ N20 ;3.0;26.32;34.72;2015-02-03 00:00:00.00;ЗАО НПК "Катрен"; Верофарм;Россия
ФИТОЧАЙ САБЕЛЬНИК БОЛОТНЫЙ 50,0 ;3.0;31.92;42.87;2015-02-03 00:00:00.00;ЗАО НПК "Катрен"; Травы Алтая;Россия
Називин капли в нос 0,025% фл 10мл№1 ;1.0;122.1;153.84;2015-02-03 00:00:00.00; ЗАО ЦВ "Протек"; E.Merck;Германия
Розовая вода лосьон очищающий 160г ;1.0;63.46;95.19;2015-02-03 00:00:00.00; ЗАО ЦВ "Протек"; Рассвет космет. ф-ка;Россия
Аскофен п таб. №10 ;30.0;14.3;18.01;2015-02-03 00:00:00.00; ЗАО ЦВ "Протек"; Фармстандарт-Лексредства ОАО;Россия
Блоктран таб. п/о плен. 12,5мг №30 (блистеры) ;1.0;112.2;136.6;2015-02-03 00:00:00.00; ЗАО ЦВ "Протек"; Фармстандарт-Лексредства ОАО;Россия
Виагра таб. покрытые пленочной оболочкой 100мг №4 ;1.0;2610.3;3288.97;2015-02-03 00:00:00.00; ЗАО ЦВ "Протек"; Pfizer PGM;Франция
Кавинтон форте таб. 10мг №30 ;1.0;223.41;266.41;2015-02-03 00:00:00.00; ЗАО ЦВ "Протек"; Gedeon Richter;Венгрия
Клопидогрел-сз таб. п/о плен. 75мг №28 ;1.0;332.64;446.62;2015-02-03 00:00:00.00; ЗАО ЦВ "Протек"; Северная звезда ЗАО;Россия
Мочеприемник стандартный меридиан 2000мл (st1300201) ;10.0;63.03;79.41;2015-02-03 00:00:00.00; ЗАО ЦВ "Протек"; DGM Pharma Apparate Handel AG;Швейцария
Небиволол таб. 5мг №28 ;1.0;252.67;318.36;2015-02-03 00:00:00.00; ЗАО ЦВ "Протек"; Северная звезда ЗАО;Россия
Нитроджина норвежская формула крем для рук без запаха туба 50мл ;1.0;135.96;203.93;2015-02-03 00:00:00.00; ЗАО ЦВ "Протек"; Johnson & Johnson (Франция);Франция
Нитроджина норвежская формула крем для рук быстро впитывающийся туба 75мл ;1.0;163.17;244.75;2015-02-03 00:00:00.00; ЗАО ЦВ "Протек"; Johnson & Johnson (Франция);Франция
Проктозан мазь 20г туба с аппликатором ;1.0;247.83;312.26;2015-02-03 00:00:00.00; ЗАО ЦВ "Протек"; Stada;Германия
Софья крем д/ступней экстракт пиявки и мочевины туба 75мл ;1.0;94.66;141.98;2015-02-03 00:00:00.00; ЗАО ЦВ "Протек"; ООО "КоролёвФарм" RU;Россия
Граммидин НЕО Таб. для рассасывания Х18 ;1.0;153.47;191.41;2015-02-03 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; Валента Фармацевтика ОАО;РОССИЯ
Граммидин с анестетиком НЕО Таб. для рассасывания Х18 ;1.0;163.19;203.53;2015-02-03 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; Валента Фармацевтика ОАО;РОССИЯ
Найз 1% гель д/наружного прим. 20г Туба ;1.0;130.09;162.25;2015-02-03 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; Д-р Редди'с Лабораторис Лтд;ИНДИЯ
Капотен 25мг Таб. Х40 (R) ;1.0;171.99;207.56;2015-02-03 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; Акрихин ОАО;РОССИЯ
Магне В6 Таб. п/о Х50 ;1.0;496.38;619.11;2015-02-03 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; Санофи Винтроп Индустрия;ФРАНЦИЯ
Пектусин Таб. д/рассасывания Х10 ;20.0;23.05;28.74;2015-02-03 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; Вифитех ЗАО;РОССИЯ
Санорин 0.1% спрей назальный 10мл Фл.пласт. М ;1.0;131.92;164.53;2015-02-03 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; Тева Чешские предприятия с.р.о.;ЧЕШСКАЯ РЕСПУБЛИКА
Санорин с маслом эвкалипта 0.1% капли назальные 10мл Фл.-кап. Б М ;1.0;95.32;118.88;2015-02-03 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; Тева Чешские предприятия с.р.о.;ЧЕШСКАЯ РЕСПУБЛИКА
Глицин табл. п/языч. 0.1г N50 Россия ;30.0;27.06;33.55;2015-02-03 00:00:00.00;ЗАО "Аптека-холдинг"; Биотики ООО МНПК;Россия
Називин капли назальн 0.025% фл 10мл Германия ;2.0;127.93;160.53;2015-02-03 00:00:00.00;ЗАО "Аптека-холдинг"; Merck KGaA for Nycomed;Германия
Хилак форте капли фл 100мл Германия ;1.0;408.21;512.26;2015-02-03 00:00:00.00;ЗАО "Аптека-холдинг"; Merckle GmbH;Германия
Селмевит табл. п/о N30 Россия ;1.0;130.68;163.99;2015-02-03 00:00:00.00;ЗАО "Аптека-холдинг"; Фармстандарт-Уфимский вит.з-д ОАО;Россия
Салфетки влажные для оптики ОптиКлин  N20 Россия ;5.0;13.92;20.74;2015-02-03 00:00:00.00;ЗАО "Аптека-холдинг"; Авангард ООО;Россия
Лозап плюс табл. п.п.о 50мг+12.5мг  N30 Чехия ;3.0;288.53;362.07;2015-02-03 00:00:00.00;ЗАО "Аптека-холдинг"; Zentiva A.C.;Чехия
Ренни табл. жев с охлаждающим вкусом N24 Франция ;1.0;169.07;212.16;2015-02-03 00:00:00.00;ЗАО "Аптека-холдинг"; Bayer Sante Familiale;Франция
Релакс спрей сироп успокаивающий фл. 30мл Украина ;1.0;113.4;168.98;2015-02-03 00:00:00.00;ЗАО "Аптека-холдинг"; Фармаком ПТФ ООО;Украина
Бисопролол табл. п.п.о. 10мг N60 Россия ;1.0;16.06;29.14;2015-02-03 00:00:00.00;ЗАО "Аптека-холдинг"; Вертекс  ЗАО;Россия
Пирацетам р-р д/ин. в/в в/м 200мг/мл амп. 5мл N5х2 Россия ;1.0;34.87;44.49;2015-02-03 00:00:00.00;ЗАО "Аптека-холдинг"; Фармстандарт-Уфимский вит.з-д ОАО;Россия
Ренни апельсин табл. жев N24 Франция ;1.0;168.3;211.2;2015-02-03 00:00:00.00;ЗАО "Аптека-холдинг"; Delpharm Gaillard;Франция
Депилятор крем Быстрое удал.д/бикини чув.кож.(алоэ вера)25мл ;5.0;25.66;38.49;2015-02-03 00:00:00.00;ФораФарм; Фитокосметик;
Натурелла Классик Нормал Кэмомайл проклад.жен.гиг.б/крыл.№12 ;1.0;55.57;83.35;2015-02-03 00:00:00.00;ФораФарм; Procter&Gamble;УКРАИНА
Натурелла Классик Нормал Сингл прокладки жен.гиг.с крылышками №10 ;1.0;56.25;84.37;2015-02-03 00:00:00.00;ФораФарм; Procter&Gamble;УКРАИНА
Сабельник чай 50г (БАД) ;2.0;40.65;60.97;2015-02-03 00:00:00.00;ФораФарм; Эвалар;
Сенна (лист) 1,5г №20ф/п (БАД) ;5.0;22.38;33.57;2015-02-03 00:00:00.00;ФораФарм; Хорст;
Сенна лист 50г (БАД) ;5.0;14.8;22.19;2015-02-03 00:00:00.00;ФораФарм; Алтай-Фарм;
Софора японская (плоды) фиточай 50г (БАД) ;6.0;23.13;34.69;2015-02-03 00:00:00.00;ФораФарм; СОиК;
Софья (пчелиный яд) крем/тела 125мл ;2.0;107.1;160.65;2015-02-03 00:00:00.00;ФораФарм; КоролёвФарм;
Тигровый Глаз ОРТО крем д/ног пяточная шпора 75мл ;1.0;61.95;92.92;2015-02-03 00:00:00.00;ФораФарм; Медикомед НПФ ООО;
Успокаивающие Травы 0,55г №30таб (БАД) ;1.0;84.25;126.37;2015-02-03 00:00:00.00;ФораФарм; ЛЕОВИТ Нутрио;
Шрот расторопши 100г (БАД) ;4.0;54.21;68.3;2015-02-03 00:00:00.00;ФораФарм; Биокор;
Зингер ножницы  (В117-S-SH IS) ;1.0;178.43;267.64;2015-02-03 00:00:00.00;ФораФарм; Zinger Group;ГЕРМАНИЯ
Софора + витамины д/сосудов 0,395г №30капс (БАД) ;1.0;140.07;210.1;2015-02-03 00:00:00.00;ФораФарм; СОиК;
SENI SUPER ПОДГУЗНИКИ Д/ВЗР MEDIUM N30 ;1.0;1097.69;1371.1;2015-02-05 00:00:00.00;ЗАО НПК "Катрен"; БЕЛЛА;Россия
SENI ПЕЛЕНКА SOFT BASIC 90X60 N30 ;1.0;630.96;773.82;2015-02-05 00:00:00.00;ЗАО НПК "Катрен"; БЕЛЛА;Россия
HALLS ЛЕДЕНЦЫ МАНДАРИН/ИМБИРЬ 33,0 N9 ;14.0;26.98;34.85;2015-02-05 00:00:00.00;ЗАО НПК "Катрен"; Мондэлис Русь;Россия
HALLS ЛЕДЕНЦЫ ОРИГИНАЛЬНЫЙ 33,0 N9 ;13.0;28.44;36.31;2015-02-05 00:00:00.00;ЗАО НПК "Катрен"; Мондэлис Русь;Россия
ЗОЛОТОЙ ШЕЛК PHYTO PIROX ШАМПУНЬ ИНТЕН П/ПЕРХ250МЛ ;2.0;126.13;173.8;2015-02-05 00:00:00.00;ЗАО НПК "Катрен"; Народные промыслы;Россия
СТЕВИЯ ПЛЮС N150 ТАБЛ ;2.0;147.76;208.76;2015-02-05 00:00:00.00;ЗАО НПК "Катрен"; ФармВилар НПО ООО;Россия
Вода чемеричная р-р д/наруж прим 100мл фл т/с ;28.0;19.49;24.53;2015-02-05 00:00:00.00; ЗАО "ПрофитМед"; Московская Фармацевтическая Фабрика;Россия
Ацетилсалициловая кислота таб 500мг n10 ;100.0;4.51;5.6;2015-02-05 00:00:00.00; ЗАО "ПрофитМед"; Дальхимфарм ОАО;Россия
Ацетилсалициловая кислота таб 500мг n10 ;100.0;4.51;5.6;2015-02-05 00:00:00.00; ЗАО "ПрофитМед"; Дальхимфарм ОАО;Россия
Вода чемеричная р-р д/наруж прим 100мл фл т/с ;28.0;19.49;24.53;2015-02-05 00:00:00.00; ЗАО "ПрофитМед"; Московская Фармацевтическая Фабрика;Россия
Йодомарин 200 0.2мг Таб. Х50 (R) ;1.0;115.08;138.64;2015-02-06 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; Менарини-Фон Хейден ГмбХ/Берлин-Хеми АГ;ГЕРМАНИЯ
Ринорус 0.1% спрей назальный 20мл Фл. Б (R) ;10.0;58.96;71.47;2015-02-06 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; Синтез ОАО г.Курган;РОССИЯ
Протафан НМ 100МЕ/мл сусп. д/подкож. введ. 10мл Фл. Х1 Б М (R) ;1.0;382.18;455.29;2015-02-06 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; Ново Нордиск А/С;ДАНИЯ
Аскорил экспекторант сироп фл 100мл Индия ;1.0;196.46;246.53;2015-02-06 00:00:00.00;ЗАО "Аптека-холдинг"; Glenmark Pharmaceuticals Ltd;Индия
Алмагель А сусп. фл. 170мл Болгария ;1.0;158.4;198.77;2015-02-06 00:00:00.00;ЗАО "Аптека-холдинг"; Balkanpharma - Troyan AD;Болгария
Кагоцел табл. 12мг N10 Россия ;1.0;189.75;233.97;2015-02-06 00:00:00.00;ЗАО "Аптека-холдинг"; Ниармедик Плюс ООО;Россия
Тенотен табл. д/рассас. N40 Россия ;1.0;148.5;186.35;2015-02-06 00:00:00.00;ЗАО "Аптека-холдинг"; Материа Медика Холдинг НПФ ООО;Россия
Нольпаза табл. п/о кишечнораств. 20мг N14 Словения ;3.0;113.74;142.73;2015-02-06 00:00:00.00;ЗАО "Аптека-холдинг"; КРКА;Словения
Ринзасип с витамином С апельсиновый пор. д/приг.р-ра внутрь N10 Индия ;3.0;155.32;194.91;2015-02-06 00:00:00.00;ЗАО "Аптека-холдинг"; Unique Pharmaceutical Laboratories;Индия
Ринзасип с витамином С лимонный пор. д/приг.р-ра внутрь N10 Индия ;3.0;159.17;199.74;2015-02-06 00:00:00.00;ЗАО "Аптека-холдинг"; Unique Pharmaceutical Laboratories;Индия
Ринзасип с витамином С черносмородиновый пор. д/приг.р-ра внутрь N10 Индия ;3.0;155.98;195.73;2015-02-06 00:00:00.00;ЗАО "Аптека-холдинг"; Unique Pharmaceutical Laboratories;Индия
Седальгин Плюс табл. N10 Болгария ;1.0;104.06;130.58;2015-02-06 00:00:00.00;ЗАО "Аптека-холдинг"; Balkanpharma - Dupnitza AD;Болгария
Аспирин Кардио табл. п/о кишечнораств. 300мг N20 Германия ;1.0;72.05;85.9;2015-02-06 00:00:00.00;ЗАО "Аптека-холдинг"; Bayer Bitterfald GmbH;Германия
Синупрет др. N50 Германия ;1.0;252.23;316.52;2015-02-06 00:00:00.00;ЗАО "Аптека-холдинг"; Bionorica SE;Германия
Кларитромицин СР табл. пролонг. д-я п.п.о 500мг N7 Россия ;1.0;183.37;220.88;2015-02-06 00:00:00.00;ЗАО "Аптека-холдинг"; Вертекс  ЗАО;Россия
Платки носовые Амелия  N10 Россия ;10.0;4.6;6.85;2015-02-06 00:00:00.00;ЗАО "Аптека-холдинг"; Гигровата ЗАО;Россия
Аллопуринол табл. 100 мг х50 ;5.0;74.55;89.06;2015-02-07 00:00:00.00;ООО ФК ПУЛС; Борщаговский ХФЗ;
Аскорил табл. х10 ;2.0;139.98;176.37;2015-02-07 00:00:00.00;ООО ФК ПУЛС; Glenmark Pharmaceuticals Ltd.;Индия
Биопарокс аэроз. 0.125 мг/доза бал. 10 мл (400 доз) х1 ;1.0;410.05;516.66;2015-02-07 00:00:00.00;ООО ФК ПУЛС; Servier/Egis;Венгрия
Бисопролол табл. п/о плен 2,5 мг х30 ;1.0;43.71;54.59;2015-02-07 00:00:00.00;ООО ФК ПУЛС; Озон;Россия
Верапамил табл. п/о 40 мг х50 ;1.0;20.85;25.8;2015-02-07 00:00:00.00;ООО ФК ПУЛС; Авва Рус;Россия
Горчичник - пакет х10 ;10.0;11.34;14.28;2015-02-07 00:00:00.00;ООО ФК ПУЛС; Сарепта Волгоградский горчичный з-д;Россия
Диротон табл. 5 мг х28 ;1.0;147.47;175.69;2015-02-07 00:00:00.00;ООО ФК ПУЛС; Gedeon Richter;Венгрия
Доксициклин капс. 100 мг х20 ;6.0;16.46;20.37;2015-02-07 00:00:00.00;ООО ФК ПУЛС; Белмедпрепараты;Беларусь
Желчь медицинская консервированная эмульсия наруж. фл. 250 мл. х1 ;1.0;187.06;235.69;2015-02-07 00:00:00.00;ООО ФК ПУЛС; Самсон-мед;Россия
Престариум А табл. п/о плен 5 мг х30 ;1.0;410.66;489.8;2015-02-07 00:00:00.00;ООО ФК ПУЛС; Servier Industrie/Сердикс;Франция/Россия
Термикон Спрей д/наруж. пр 1 % фл. 15 г. х1 ;1.0;187.43;236.16;2015-02-07 00:00:00.00;ООО ФК ПУЛС; Фармстандарт Лексредства Курск;Россия
Троксевазин гель наруж.пр. 2 % 40 г. х1 ;10.0;136.13;171.52;2015-02-07 00:00:00.00;ООО ФК ПУЛС; Balkanpharma Troya AD;Болгария
Энтеросгель паста туба 225 г. х1 ;1.0;359.76;453.29;2015-02-07 00:00:00.00;ООО ФК ПУЛС; Силма;Россия
Энтерофурил капс. 100 мг х30 ;1.0;252.2;317.77;2015-02-07 00:00:00.00;ООО ФК ПУЛС; Bosnalijek;Босния и Герцег
Энтерофурил капс. 200 мг х16 ;1.0;355.19;447.53;2015-02-07 00:00:00.00;ООО ФК ПУЛС; Bosnalijek;Босния и Герцег
АСПИРИН КОМПЛЕКС 3,5475 N10 ШИП ПОР ;2.0;281.82;354.62;2015-02-07 00:00:00.00;ЗАО НПК "Катрен"; Керн Фарма С.Л.;Испания
БИФИДУМБАКТЕРИН 5ДОЗ N10 ФЛАК СУХОЙ ;3.0;72.16;85.98;2015-02-07 00:00:00.00;ЗАО НПК "Катрен"; Микроген НПО;Россия
ВИТРУМ СУПЕРСТРЕСС N30 ТАБЛ П/О ;1.0;458.59;575.11;2015-02-07 00:00:00.00;ЗАО НПК "Катрен"; Юнифарм Инк;СОЕДИНЕННЫЕ ШТАТЫ
ГЛИЦЕРИН 2,11 N10 СУПП ;2.0;118.91;146.73;2015-02-07 00:00:00.00;ЗАО НПК "Катрен"; Нижфарм ОАО;Россия
ДАНТИНОРМ БЭБИ 1МЛ N10 КОНТЕЙН Р-Р Д/ВНУТР ;1.0;258.39;321.66;2015-02-07 00:00:00.00;ЗАО НПК "Катрен"; Лаборатория Буарон;Франция
КАЛЕНДУЛЫ НАСТОЙКА 40МЛ /ФЛОРА КАВКАЗА/ ;2.0;26.73;35.83;2015-02-07 00:00:00.00;ЗАО НПК "Катрен"; Флора Кавказа ОАО;Россия
КОКАРБОКСИЛАЗА 0,05 N5 АМП ЛИОФ Д/Р-РА В/В В/М+Р-Л ;2.0;182.71;229.51;2015-02-07 00:00:00.00;ЗАО НПК "Катрен"; МИКРОГЕН НПО;Россия
ТЕРАФЛЮ ОТ ГРИППА/ПРОСТУДЫ N10 ПАК ;3.0;266.2;327.38;2015-02-07 00:00:00.00;ЗАО НПК "Катрен"; Фамар Орлеанс;Франция
ФИТОЧАЙ АЛТАЙ №16 ФИТОТОНИК С ЛИМОННИК 2,0 N20 Ф/П ;2.0;44.92;60.92;2015-02-07 00:00:00.00;ЗАО НПК "Катрен"; Алтайский кедр;Россия
АЛМАГЕЛЬ 170МЛ ФЛАК СУСП ;1.0;149.93;185.39;2015-02-07 00:00:00.00;ЗАО НПК "Катрен"; Балканфарма - Троян АД;Болгария
АСПИРИН КОМПЛЕКС 3,5475 N10 ШИП ПОР ;1.0;284.57;357.37;2015-02-07 00:00:00.00;ЗАО НПК "Катрен"; Керн Фарма С.Л.;Испания
ГЛИФОРМИН 0,85 N60 ТАБЛ П/О ;1.0;180.29;215.31;2015-02-07 00:00:00.00;ЗАО НПК "Катрен"; Акрихин ХФК ОАО;Россия
КАРДИОМАГНИЛ 0,075+0,0152 N100 ТАБЛ П/О ;6.0;222.53;0.0;2015-02-07 00:00:00.00;ЗАО НПК "Катрен"; Никомед ГмбХ;Германия
КЕТОРОЛ 0,01 N20 ТАБЛ П/О ;20.0;39.16;48.53;2015-02-07 00:00:00.00;ЗАО НПК "Катрен"; Д-р Редди с Лабораторис Лтд;Индия
КЛАРИТРОМИЦИН 0,25 N10 ТАБЛ П/О ;1.0;85.36;103.69;2015-02-07 00:00:00.00;ЗАО НПК "Катрен"; ОЗОН;Россия
НУРОФЕН 0,1/5МЛ 100МЛ СУСП Д/ДЕТЕЙ /КЛУБНИКА/ ;2.0;116.27;138.54;2015-02-07 00:00:00.00;ЗАО НПК "Катрен"; Рекитт Бенкизер Хелскэр (Великобритания) Лимитед;Соединенное королевство
ОБЛЕПИХОВОЕ МАСЛО 100МЛ ИНД/УП ;1.0;340.34;423.12;2015-02-07 00:00:00.00;ЗАО НПК "Катрен"; Алтайвитамины ЗАО;Россия
ЭВКАБАЛ 100МЛ ФЛАК СИРОП ;1.0;144.32;0.0;2015-02-07 00:00:00.00;ЗАО НПК "Катрен"; Эспарма ГмбХ;Германия
HUGGIES ПОДГУЗНИКИ CLASSIC 4/7-18КГ N14 ;1.0;160.82;0.0;2015-02-07 00:00:00.00;ЗАО НПК "Катрен"; Кимберли-Кларк;Россия
ГАМАМЕЛИС N10 СУПП РЕКТ ГОМЕОПАТИЧ ;2.0;53.24;0.0;2015-02-07 00:00:00.00;ЗАО НПК "Катрен"; МОСКОВСКАЯ ФАРМ. ФАБРИКА;Россия
ПРЕЗЕРВАТИВ CONTEX LONG LOVE ПРОДЛЕВ N12 ;1.0;342.54;0.0;2015-02-07 00:00:00.00;ЗАО НПК "Катрен"; ЛРС Продактс ЛТД;Таиланд
ПРЕЗЕРВАТИВ CONTEX LONG LOVE ПРОДЛЕВ N3 ;1.0;87.23;0.0;2015-02-07 00:00:00.00;ЗАО НПК "Катрен"; ЛРС Продактс ЛТД;Таиланд
СИНЕКОД 0,0015/МЛ 200МЛ ФЛАК СИРОП ;1.0;276.87;342.03;2015-02-07 00:00:00.00;ЗАО НПК "Катрен"; Новартис Консьюмер Хелс С.А.;Швейцария
РИО ГОЛД ПОДСЛАСТИТЕЛЬ N1200 ТАБЛ ;1.0;90.36;136.93;2015-02-07 00:00:00.00;ЗАО НПК "Катрен"; СВИТ ЛАЙФ Лтд.;Китай
Йодомарин 200 0.2мг Таб. Х50 (R) ;1.0;115.08;138.64;2015-02-07 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; Менарини-Фон Хейден ГмбХ/Берлин-Хеми АГ;ГЕРМАНИЯ
Ринорус 0.1% спрей назальный 20мл Фл. Б (R) ;10.0;58.96;71.47;2015-02-07 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; Синтез ОАО г.Курган;РОССИЯ
Протафан НМ 100МЕ/мл сусп. д/подкож. введ. 10мл Фл. Х1 Б М (R) ;1.0;382.18;455.29;2015-02-07 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; Ново Нордиск А/С;ДАНИЯ
Крестор 10мг Таб. п/пл/об. Х98 ;1.0;4207.5;5279.57;2015-02-07 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; АйПиЭр Фармасьютикалс Инк/ЗиО-Здоровье ЗАО;РОССИЯ
Лактофильтрум Таб. Х60 ;1.0;305.38;383.19;2015-02-07 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; АВВА РУС ОАО;РОССИЯ
Йодомарин 200 0.2мг Таб. Х50 (R) ;1.0;115.08;138.64;2015-02-07 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; Менарини-Фон Хейден ГмбХ/Берлин-Хеми АГ;ГЕРМАНИЯ
Ринорус 0.1% спрей назальный 20мл Фл. Б (R) ;10.0;58.96;71.47;2015-02-07 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; Синтез ОАО г.Курган;РОССИЯ
Алфавит Классик Таб. Х60 .@ ;1.0;160.59;239.27;2015-02-07 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; Внешторг Фарма ООО;РОССИЯ
Феминал 160мг Капс. Х30 .@ ;1.0;592.22;873.82;2015-02-07 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; Ядран Галенский Лабораторий АО;ХОРВАТИЯ
Феминал 160мг Капс. Х30 .@ ;1.0;592.22;873.82;2015-02-07 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; Ядран Галенский Лабораторий АО;ХОРВАТИЯ
Алерана бальзам-ополаск. д/волос 200мл .@ ;1.0;200.97;299.44;2015-02-07 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; Вертекс ЗАО;РОССИЯ
Вильпрафен Солютаб 1000мг Таб. диспергируемые Х10 (R) ;1.0;534.69;620.75;2015-02-07 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; Теммлер Верке ГмбХ;ГЕРМАНИЯ
Протафан НМ 100МЕ/мл сусп. д/подкож. введ. 10мл Фл. Х1 Б М (R) ;1.0;382.18;455.29;2015-02-07 00:00:00.00; ЗАО "СИА Интернейшнл-Тула"; Ново Нордиск А/С;ДАНИЯ
Аспирин комплекс пор. шипучий д/приг. р-ра д/приема внутрь пакетики №10 ;3.0;279.07;351.62;2015-02-07 00:00:00.00; ЗАО ЦВ "Протек"; Kern Pharma S.L.;Испания
Геломиртол капс. кш/раств. 120мг №20 ;10.0;188.43;237.42;2015-02-07 00:00:00.00; ЗАО ЦВ "Протек"; Pohl Boskamp;Германия
Диабетон мв таб. с модиф. высвоб. 60мг №30 ;2.0;265.32;317.53;2015-02-07 00:00:00.00; ЗАО ЦВ "Протек"; Сердикс ООО;Россия
Орвирем (римантадин) сироп д/детей 0,2% фл 100мл ;1.0;173.91;219.12;2015-02-07 00:00:00.00; ЗАО ЦВ "Протек"; Олифен Корпорация ЗАО;Россия
Алмагель а сусп. д/внут. прим. фл. 170мл №1 ;1.0;154.55;194.73;2015-02-07 00:00:00.00; ЗАО ЦВ "Протек"; Balkanpharma;Болгария
Алмагель сусп. д/приема внутрь фл 170мл (в комплекте с ложкой мерной) №1 ;1.0;146.74;184.89;2015-02-07 00:00:00.00; ЗАО ЦВ "Протек"; Balkanpharma;Болгария
Аторис таб. п/о плен. 20мг №30 ;2.0;397.32;483.43;2015-02-07 00:00:00.00; ЗАО ЦВ "Протек"; KRKA;Словения
Кеторол таб. п/о плен. 10мг №20 ;20.0;38.06;47.43;2015-02-07 00:00:00.00; ЗАО ЦВ "Протек"; Dr. Reddy's lab.;Индия
Климонорм др. №21 ;1.0;586.08;738.46;2015-02-07 00:00:00.00; ЗАО ЦВ "Протек"; Jenapharm;Германия
Конкор кор таб. п/о плён. 2,5мг №30 ;3.0;152.13;181.71;2015-02-07 00:00:00.00; ЗАО ЦВ "Протек"; E.Merck;Германия
Конкор таб. п/о плён. 5мг №30 ;2.0;197.67;236.25;2015-02-07 00:00:00.00; ЗАО ЦВ "Протек"; Merck KGaA;Германия
Пикамилон таб. 50мг №30 ;5.0;67.54;85.1;2015-02-07 00:00:00.00; ЗАО ЦВ "Протек"; Уфимский витам.з-д;Россия
Беклазон эко аэр. д/инг. дозир. 250мкг/доза фл. 200доз №1 ;1.0;403.48;487.19;2015-02-09 00:00:00.00; ЗАО ЦВ "Протек"; Norton Waterford;Ирландия
Конкор таб. п/о плён. 5мг №30 ;1.0;197.67;236.25;2015-02-09 00:00:00.00; ЗАО ЦВ "Протек"; Merck KGaA;Германия
